trial_number,best_train_loss,final_train_loss,final_val_loss,lr,batch_size,internal_layer_size,output_dim,margin,optimizer,weight_decay
1,,,,5.6115164153345e-05,64,512,256,0.18802042194087948,sgd,0.00011207606211860574
2,,,,7.309539835912905e-05,128,512,512,0.1608406803967395,sgd,0.0004138040112561013
3,,,,4.066563313514796e-05,128,512,512,0.17015539609159258,adam,0.0006161049539380963
4,,,,0.0001569639638866114,64,768,256,0.5714280374901257,adamw,2.497073714505272e-05
5,,,,1.0257563974185649e-05,64,768,128,0.2613691593173856,sgd,8.798929749689021e-05
6,,,,1.7345566642360933e-05,512,256,256,0.38057094925705676,adam,0.0003244160088734161
7,,,,2.8681134821030064e-05,512,512,128,0.6324593449502706,adam,7.148510793512978e-05
8,,,,0.0004325432427964555,64,768,256,0.6816583537686244,adam,3.997206819121805e-05
9,,,,3.712624179040528e-05,128,256,128,0.5450527499636664,adamw,0.00018391267498288997
10,,,,0.00018495216589727275,256,768,512,0.16333817885324442,sgd,1.883830778761975e-05
11,,,,0.000776735381623706,1024,1024,256,0.06159657769237323,sgd,1.0744583847151165e-05
12,,,,6.929790259989524e-05,128,512,512,0.33596698294338356,sgd,0.0008603712922135038
13,,,,8.819176073569919e-05,1024,512,512,0.05606324304454019,sgd,0.00022465392476467104
14,,,,0.00018526081758759246,256,512,512,0.20446702685773202,sgd,0.0003933480575431433
15,,,,6.577272217963763e-05,64,1024,256,0.42909765007811274,sgd,0.0001146959579468061
16,,,,0.0001133858401260482,128,512,256,0.27803943581002694,adamw,0.00012953685031874787
17,,,,0.00042579880439922363,128,512,512,0.1047275478440487,sgd,5.1492191153411867e-05
18,,,,2.1086908167827972e-05,64,512,512,0.4530400835258093,sgd,0.0004524540905246327
19,,,,5.0108006204724114e-05,512,256,256,0.2504757679116328,sgd,0.00021531350891894905
20,,,,0.00010785006601337609,256,1024,128,0.1342609715042126,adamw,0.0007281935991825222
21,,,,0.00024871300993354505,1024,512,512,0.31015612597023823,sgd,0.00016155377070117762
22,,,,4.110275205609604e-05,128,512,512,0.20597253165928742,adam,0.0005768498279161787
23,,,,2.657625723440864e-05,128,512,512,0.18904226578157438,adam,0.0003043344699306969
24,,,,5.932780282744935e-05,128,512,512,0.11300382892258552,adam,0.0009565432147560543
25,,,,1.5638943576700537e-05,128,512,512,0.22900657268993252,adam,0.0005266210017669334
26,,,,3.754863508709282e-05,64,512,256,0.15184032851498827,adam,0.00029841162122205915
27,,,,7.637678915985091e-05,128,512,512,0.3446200602313031,sgd,0.000634305687465512
28,,,,0.00012344914284165515,128,1024,512,0.1053138112003027,sgd,7.018825073720045e-05
29,,,,5.32775815753164e-05,64,256,256,0.30297564913472697,adamw,0.00041239591114679936
30,,,,2.7851210693460445e-05,64,768,128,0.16842671670394,adam,4.01145709368764e-05
31,,,,0.0002530763049925093,512,512,256,0.5022289274760412,adamw,0.0002651005244211883
32,,,,1.085592193448114e-05,64,768,256,0.6142641504699223,adamw,2.3183966418305263e-05
33,,,,0.0001260146346924551,64,768,256,0.37624277111849125,adamw,2.08272971786167e-05
34,,,,0.00016557201738811773,64,768,256,0.5467397743367575,adamw,9.714265353720302e-05
35,,,,8.645338316487303e-05,64,768,128,0.25449266407326726,adam,1.3111536267048658e-05
36,,,,4.283336259730705e-05,512,256,256,0.41871730535564566,adamw,3.441858598577377e-05
37,,,,0.00032274630561604864,256,768,256,0.6392311029110846,sgd,2.9519487305318733e-05
38,,,,0.00014461013789657452,1024,512,128,0.08311152370694835,adam,6.773569380235356e-05
39,,,,3.257486372822338e-05,128,768,256,0.5693088813225017,sgd,0.00015891459662123323
40,,,,0.0008723172294256451,64,256,512,0.1783360693597607,adamw,5.745561612962896e-05
41,,,,9.297544305739123e-05,128,512,512,0.6796580771538812,sgd,1.565703975165893e-05
42,,,,1.106071060875616e-05,64,768,128,0.2403602228611351,sgd,9.26347758357931e-05
43,,,,1.584088797757657e-05,64,768,128,0.21646298413645854,sgd,0.0007665587617924755
44,,,,2.2864936756030848e-05,64,768,128,0.13576208271753062,sgd,4.291286177298184e-05
45,,,,7.13481075197406e-05,64,1024,128,0.2778745157469723,sgd,0.00037488264180702375
46,,,,0.00019871187008168597,256,512,256,0.051923962126898135,sgd,2.7904980912532507e-05
47,,,,0.0005493906346858283,1024,768,512,0.2777938157921832,sgd,0.00022245282016477617
48,,,,4.9132832204135475e-05,512,512,128,0.14365202053495374,adam,0.0001263798033019051
49,,,,1.3316684040796998e-05,128,1024,256,0.18822762876969737,sgd,8.599706551024887e-05
50,,,,6.32186334072906e-05,64,512,512,0.4888394946786487,adamw,0.0004967007110560776
