trial_number,best_train_loss,final_train_loss,final_val_loss,lr,batch_size,internal_layer_size,output_dim,q_pos,q_neg,optimizer,weight_decay
1,0.06891971279319402,0.06891971279319402,0.05626104220415756,5.6115164153345e-05,64,512,256,0.8,0.35,sgd,0.00037183641805732076
2,0.07205149706225006,0.07205149706225006,0.06280952300876379,2.5081156860452307e-05,512,768,768,0.8,0.3,sgd,0.0003550304858128307
3,0.006953075385230887,0.006953075385230887,0.0038598807994276287,0.0007568292060167617,256,768,128,0.8,0.4,sgd,1.4063366777718176e-05
4,0.002230993909415934,0.002230993909415934,0.0023053575386705843,5.211124595788268e-05,128,768,128,0.75,0.25,adamw,0.0001040258761588385
5,0.002052084070003932,0.002052084070003932,0.002226646291092038,0.0006533305220227731,256,768,256,0.8,0.4,adamw,0.00010507384024181397
6,0.05523255150004917,0.05523255150004917,0.043281090632081035,6.83631406502272e-05,512,1024,128,0.75,0.35,sgd,3.048670883458067e-05
7,0.0037860456859393214,0.0037860456859393214,0.003270648888484308,0.00022093834415066264,64,1024,128,0.65,0.35,adam,1.6863473810115062e-05
8,0.006408195964314558,0.006408195964314558,0.005035983218372485,0.0007069476197217987,64,1024,128,0.7,0.4,adam,0.00021232617602360456
9,0.005375157606423549,0.005375157606423549,0.003187673119828105,1.0235832435175107e-05,256,1024,256,0.6,0.25,adam,9.66129598966224e-05
10,0.0042225678665271495,0.0042225678665271495,0.002937746408490381,2.4574572727813138e-05,64,512,256,0.6,0.25,adam,1.5644186602631917e-05
11,0.08411720562346127,0.08411720562346127,0.07518345266580581,0.0001281716214662065,1024,512,768,0.65,0.35,sgd,0.0008773222915788808
12,0.09370866592745392,0.09370866592745392,0.08649686984717846,2.9820913313778412e-05,512,256,768,0.8,0.3,sgd,0.0006792224620402288
13,0.08038880295899449,0.08038880295899449,0.07187164463102817,1.4188063737126661e-05,512,512,768,0.8,0.3,sgd,0.00032715491421874294
14,0.09504734610720557,0.09505387882188875,0.08802936300635338,3.5560743660547806e-05,1024,256,768,0.8,0.3,sgd,0.0003385237827879525
15,0.06099896206308509,0.06099896206308509,0.047340666686620896,0.00014223864968676886,128,512,256,0.7,0.3,sgd,0.0004487809174213035
16,0.002871301555426604,0.002871301555426604,0.001632851301203037,1.9279942276229844e-05,64,768,768,0.8,0.35,adamw,0.00017514826598083363
17,0.07427328863010114,0.07427328863010114,0.06427115388214588,0.0002693168084313325,512,512,256,0.8,0.3,sgd,5.442787259660796e-05
18,0.043330802618551545,0.043330802618551545,0.026774476489918247,5.712195884877372e-05,64,768,256,0.8,0.35,sgd,0.0002174061268295262
19,0.09504261947408014,0.09504261947408014,0.08807407505810261,7.48153438276081e-05,512,256,768,0.65,0.3,sgd,0.0005118078717117629
20,0.0050632072784735456,0.0050632072784735456,0.0034303470054947876,3.8660775967287935e-05,128,512,256,0.6,0.35,adamw,0.0008131749062880231
21,0.0754452888302657,0.0754452888302657,0.06608854196965694,1.6361904103388473e-05,1024,768,768,0.7,0.35,sgd,0.00014602992300816653
22,0.006942300180740216,0.006942300180740216,0.0038678033160977066,0.00038974769159685175,256,768,128,0.8,0.4,sgd,4.339954655802462e-05
23,0.06717239039214067,0.06717239039214067,0.05233300295658409,0.00010714912668674753,256,768,128,0.8,0.4,sgd,1.114214880007553e-05
24,0.006708785562830812,0.006708785562830812,0.003745361586334184,0.0009203291726930044,256,768,128,0.8,0.4,sgd,0.00033254520926350714
25,0.07906520271635785,0.07906520271635785,0.06915739178657532,4.5029532145203505e-05,512,768,256,0.8,0.4,sgd,6.415856984328179e-05
26,0.05111918811831633,0.05111918811831633,0.03519534459337592,8.470238151240109e-05,256,768,128,0.75,0.4,sgd,3.076436626266158e-05
27,0.057927212922792744,0.057927212922792744,0.044203417885835004,0.0001883692973192265,64,512,768,0.8,0.3,sgd,0.0005253100762314406
28,0.005354144515202131,0.005354144515202131,0.002771153825091993,0.0004458310265869325,64,256,128,0.8,0.25,sgd,0.0002623702653366469
29,0.004060539660490669,0.004060539660490669,0.002229000924853608,2.2689240810738828e-05,512,768,256,0.8,0.4,adam,0.00014554480561132204
