trial_number,best_train_loss,final_train_loss,final_val_loss,lr,batch_size,internal_layer_size,output_dim,m_pos,m_gap,optimizer,weight_decay
1,0.04089074390949306,0.04089074390949306,0.03311514799856836,5.6115164153345e-05,64,512,256,0.3975351981824014,0.13818249672071006,sgd,7.309539835912905e-05
2,0.003241735549035267,0.003241735549035267,0.002061661123557633,3.8234752246751835e-05,64,256,256,0.3839847465546457,0.21488855372533333,adam,1.5679933916722995e-05
3,0.08460005182696849,0.08460005182696849,0.07578455731272697,0.000233596350262616,1024,512,768,0.44931221974922253,0.2139498941564189,sgd,1.5030900645056805e-05
4,0.0027266321086077665,0.0027266321086077665,0.0012561346695292741,2.4658447214487366e-05,1024,768,768,0.44904651877529245,0.13987156815341723,adamw,0.0002870875348195468
5,0.001325748472092008,0.001325748472092008,0.001070945046376437,0.000348771262454593,512,256,768,0.42144377311489933,0.13195942459383017,adamw,0.0003482846706526881
6,0.023975318633806454,0.023975318633806454,0.01594413356606368,9.718319944817387e-05,64,1024,768,0.3990494312252293,0.1276979909828793,sgd,0.00041327654594663655
7,0.001250443620754558,0.001250443620754558,0.0010400644649052992,0.00018484491720988634,512,512,768,0.4571872136595836,0.12069521305311906,adam,1.736723715159314e-05
8,0.07013709427489734,0.07013709427489734,0.061452345032790665,4.7340227734041895e-05,64,256,128,0.4340799187261505,0.17026790232288613,sgd,3.0138649046798015e-05
9,0.06736004863725141,0.06736004863725141,0.05904971183383766,1.9489008462344228e-05,128,512,128,0.4548478295942099,0.15207800649717357,sgd,0.00022653156413948846
10,0.004868968071568073,0.004868968071568073,0.0024346048478037117,1.0793832090127281e-05,1024,512,256,0.4017306297497943,0.1859984046034179,adam,3.0458224385894053e-05
11,0.0046446033213954525,0.0046446033213954525,0.0024621364718768746,0.000776735381623706,256,1024,256,0.37964136176568974,0.15802929602518107,sgd,9.427382560668222e-05
12,0.002941427783509067,0.002941427783509067,0.0026921396719137573,7.253101155241605e-05,64,256,256,0.3805377340802562,0.209054002986905,adam,7.245642838023481e-05
13,0.0021455678219905647,0.0021455678219905647,0.001949377936328862,4.616561222303107e-05,64,768,256,0.39971577644998807,0.19102017839650365,adam,5.090873160060654e-05
14,0.0026066213832911635,0.0026066213832911635,0.0015856113730096347,3.5560743660547806e-05,64,256,256,0.4166181257101405,0.1854614990404355,adam,1.0187635895685474e-05
15,0.0028144958519252957,0.0028144958519252957,0.0014099168423209575,1.1248613366724764e-05,128,512,256,0.3912434836619227,0.16913538958974877,adamw,0.000981824756903747
16,0.0820431573902402,0.0820431573902402,0.07458988036960364,0.00013088003137324127,256,256,256,0.41230328812382677,0.19905872577166836,sgd,3.7654648590342216e-05
17,0.0019448044202843877,0.0019448044202843877,0.0011148771130595546,7.386508325927118e-05,64,1024,128,0.43405191597136716,0.14812250549596617,adam,0.000188887005879354
