trial_number,best_train_loss,final_train_loss,final_val_loss,lr,batch_size,internal_layer_size,output_dim,margin,optimizer,weight_decay
1,0.08962809552825267,0.08962809552825267,0.07840735016829649,5.6115164153345e-05,64,512,256,0.6743186887373966,sgd,0.00011207606211860574
2,0.09153219255263847,0.09153219255263847,0.08217033677840535,7.309539835912905e-05,128,512,768,0.6596834432905521,sgd,0.0004138040112561013
3,0.04951101582487831,0.04951101582487831,0.04039721983143046,4.066563313514796e-05,128,512,768,0.6646990594339345,adam,0.0006161049539380963
4,0.07959303846886656,0.07959303846886656,0.06988516210275851,0.0001569639638866114,64,768,256,0.8807689432639139,adamw,2.497073714505272e-05
5,0.10105926648583156,0.10105926648583156,0.08918641626265399,1.0257563974185649e-05,64,768,128,0.7138141627093615,sgd,8.798929749689021e-05
6,0.0806111708207398,0.0806111708207398,0.06513485256582499,1.7345566642360933e-05,512,256,256,0.7779997419076459,adam,0.0003244160088734161
7,0.10245371454072241,0.10245371454072241,0.08354264236986637,2.8681134821030064e-05,512,512,128,0.9136319549732226,adam,7.148510793512978e-05
8,0.09273828273151673,0.09273828273151673,0.0789201379913813,0.0004325432427964555,64,768,256,0.9401237289523362,adam,3.997206819121805e-05
9,0.08693126315617805,0.08693126315617805,0.07191321942247922,3.712624179040528e-05,128,256,128,0.8665668653650511,adamw,0.00018391267498288997
10,0.08568076897993722,0.08568076897993722,0.07495371317490936,0.00018495216589727275,256,768,768,0.6610282501517469,sgd,1.883830778761975e-05
11,0.06373360927919952,0.06373360927919952,0.05404922291636467,0.000776735381623706,1024,1024,256,0.606244311065124,sgd,1.0744583847151165e-05
12,0.12581061092598358,0.12581061092598358,0.11417269584121584,6.929790259989524e-05,128,512,768,0.7539822215848988,sgd,0.0008603712922135038
13,0.07536918092138913,0.07536918092138913,0.06766402199864388,8.819176073569919e-05,1024,512,768,0.6032648231778294,sgd,0.00022465392476467104
14,0.09821234986452801,0.09821234986452801,0.08759709810838104,0.00018526081758759246,256,512,768,0.6831745529233941,sgd,0.0003933480575431433
15,0.10934329878059779,0.10934329878059779,0.09101122138416691,6.577272217963763e-05,64,1024,256,0.8041295038882146,sgd,0.0001146959579468061
16,0.05615903348530955,0.05615903348530955,0.04781005550411683,0.0001133858401260482,128,512,256,0.7227904654361683,adamw,0.00012953685031874787
17,0.07662584085751067,0.07662584085751067,0.06639396281370634,0.00042579880439922363,128,512,768,0.629468679608334,sgd,5.1492191153411867e-05
18,0.1527930460036068,0.1527930460036068,0.14021183787637456,2.1086908167827972e-05,64,512,768,0.8170215834369743,sgd,0.0004524540905246327
19,0.12762593200468286,0.12762593200468286,0.12059631831943989,5.0108006204724114e-05,512,256,256,0.707948490413956,sgd,0.00021531350891894905
20,0.043914687841216014,0.043914687841216014,0.0372754274867475,0.00010785006601337609,256,1024,128,0.6453712923484222,adamw,0.0007281935991825222
21,0.123069523016409,0.123069523016409,0.11283135414123535,0.00024871300993354505,1024,512,768,0.7400840678301283,sgd,0.00016155377070117762
22,0.052323354427200146,0.052323354427200146,0.04262169087423554,4.110275205609604e-05,128,512,768,0.683985209355001,adam,0.0005768498279161787
23,0.05234629199232744,0.05234629199232744,0.042425625780715216,2.657625723440864e-05,128,512,768,0.6748689123439247,adam,0.0003043344699306969
24,0.04497342863980004,0.04497342863980004,0.03656576123512999,5.932780282744935e-05,128,512,768,0.6339251386506229,adam,0.0009565432147560543
25,0.05802322036165106,0.05802322036165106,0.04705540307714969,1.5638943576700537e-05,128,512,768,0.6963881545253482,adam,0.0005266210017669334
26,0.04735978379588209,0.04735978379588209,0.0392405883331967,3.754863508709282e-05,64,512,256,0.654837099969609,adam,0.00029841162122205915
27,0.12957633104737457,0.12957633104737457,0.11803207188090191,7.637678915985091e-05,128,512,768,0.7586415708937786,sgd,0.000634305687465512
28,0.0720997246272881,0.0720997246272881,0.0619171580087535,0.00012344914284165515,128,1024,768,0.629784359877086,sgd,7.018825073720045e-05
29,0.06030900065172809,0.06030900065172809,0.05063307285308838,5.32775815753164e-05,64,256,256,0.7362176572263913,adamw,0.00041239591114679936
30,0.048744929203631326,0.048744929203631326,0.04011484082479765,2.7851210693460445e-05,64,768,128,0.6637682320713523,adam,4.01145709368764e-05
31,0.07691832411350036,0.07691832411350036,0.06540785059332847,0.0002530763049925093,512,512,256,0.8435078840255607,adamw,0.0002651005244211883
32,0.09805738178254013,0.09805738178254013,0.07908440722971205,1.085592193448114e-05,64,768,256,0.9038345425607275,adamw,2.3183966418305263e-05
33,0.06187374343093358,0.06187374343093358,0.053377869449982976,0.0001260146346924551,64,768,256,0.7756691844484183,adamw,2.08272971786167e-05
34,0.07691836558992636,0.07691836558992636,0.06726558122095788,0.00016557201738811773,64,768,256,0.8674752631044078,adamw,9.714265353720302e-05
35,0.05295426920723702,0.05295426920723702,0.04441384204728588,8.645338316487303e-05,64,768,128,0.7101114345009901,adam,1.3111536267048658e-05
36,0.07722955383360386,0.07722955383360386,0.06302842702716589,4.283336259730705e-05,512,256,256,0.7985400874991937,adamw,3.441858598577377e-05
37,0.1415029386501483,0.1415029386501483,0.11668538749217987,0.00032274630561604864,256,768,256,0.9172782861828918,sgd,2.9519487305318733e-05
38,0.042303520577902695,0.042303520577902695,0.035018670558929446,0.00014461013789657452,1024,512,128,0.6178292819960491,adam,6.773569380235356e-05
39,0.16547468787683245,0.16547468787683245,0.14825283575661574,3.257486372822338e-05,128,768,256,0.8796278591736547,sgd,0.00015891459662123323
40,0.04674608569642289,0.04674608569642289,0.03957309885911501,0.0008723172294256451,64,256,768,0.6691040373475635,adamw,5.745561612962896e-05
41,0.209404434637188,0.209404434637188,0.19274630935131748,9.297544305739123e-05,128,512,768,0.9390466569290129,sgd,1.565703975165893e-05
42,0.09491753956911965,0.09491753956911965,0.082827403548227,1.106071060875616e-05,64,768,128,0.7025016584636882,sgd,9.26347758357931e-05
43,0.09297443979246374,0.09297443979246374,0.08145876349821972,1.584088797757657e-05,64,768,128,0.6896339145350162,sgd,0.0007665587617924755
44,0.08277048342173021,0.08277048342173021,0.07284275439989035,2.2864936756030848e-05,64,768,128,0.6461795830017473,sgd,4.291286177298184e-05
45,0.08627081318250163,0.08627081318250163,0.07244141468671476,7.13481075197406e-05,64,1024,128,0.7227016623252928,sgd,0.00037488264180702375
46,0.07110198619573013,0.07110198619573013,0.06208704952150583,0.00019871187008168597,256,512,256,0.6010359796067912,sgd,2.7904980912532507e-05
47,0.10647869467431186,0.10647869467431186,0.09491448774933815,0.0005493906346858283,1024,768,768,0.7226582085034833,sgd,0.00022245282016477617
48,0.0488733955259834,0.0488733955259834,0.04015035517513752,4.9132832204135475e-05,512,512,128,0.6504280110572828,adam,0.0001263798033019051
49,0.08870359957503998,0.08870359957503998,0.07778093133923374,1.3316684040796998e-05,128,1024,256,0.6744302616452217,sgd,8.599706551024887e-05
50,0.0764454389330636,0.0764454389330636,0.0640977787174237,6.32186334072906e-05,64,512,768,0.8362981894423492,adamw,0.0004967007110560776
