trial_number,best_train_loss,final_train_loss,final_val_loss,lr,batch_size,internal_layer_size,output_dim,m_pos,m_gap,optimizer,weight_decay
1,0.04016747822960027,0.04016747822960027,0.032154260796441396,5.6115164153345e-05,64,512,256,0.4497274754949587,0.08636499344142012,sgd,7.309539835912905e-05
2,0.004103588628995585,0.004103588628995585,0.0029394596427305348,3.8234752246751835e-05,64,256,256,0.42910722301793913,0.23977710745066666,adam,1.5679933916722995e-05
3,0.12339455315044948,0.12339455315044948,0.11263913586735726,0.000233596350262616,1024,512,768,0.5285185952705561,0.2378997883128378,sgd,1.5030900645056805e-05
4,0.0020255629051647776,0.0020255629051647776,0.0008666846319101751,2.4658447214487366e-05,1024,768,768,0.528114267701532,0.08974313630683449,adamw,0.0002870875348195468
5,0.0007670727305705849,0.0007670727305705849,0.0009903686324832961,0.000348771262454593,512,256,768,0.48611008952267293,0.07391884918766034,adamw,0.0003482846706526881
6,0.02122428126738038,0.02122428126738038,0.013603526894240433,9.718319944817387e-05,64,1024,768,0.45203174316882716,0.0653959819657586,sgd,0.00041327654594663655
7,0.0006782461980260358,0.0006782461980260358,0.0013321823062142357,0.00018484491720988634,512,512,768,0.5405022816558881,0.051390426106238146,adam,1.736723715159314e-05
8,0.0900723120353768,0.0900723120353768,0.08051326427205353,4.7340227734041895e-05,64,256,128,0.5053390067571856,0.15053580464577232,sgd,3.0138649046798015e-05
9,0.078108258893156,0.078108258893156,0.06853306878216658,1.9489008462344228e-05,128,512,128,0.5369423493824934,0.11415601299434718,sgd,0.00022653156413948846
10,0.005118277703164791,0.005118277703164791,0.0026172730838879945,1.0793832090127281e-05,1024,512,256,0.4561118278801218,0.1819968092068358,adam,3.0458224385894053e-05
11,0.0037749614864301955,0.0037749614864301955,0.0018504458625102417,0.000776735381623706,256,1024,256,0.4224977244260496,0.12605859205036218,sgd,9.427382560668222e-05
12,0.0035208777308309725,0.0035208777308309725,0.003494675361305167,7.253101155241605e-05,64,256,256,0.4238617692525638,0.22810800597381,adam,7.245642838023481e-05
13,0.002233320042487682,0.002233320042487682,0.0016887300947360743,4.616561222303107e-05,64,768,256,0.45304574677172094,0.19204035679300735,adam,5.090873160060654e-05
14,0.002707926950533502,0.002707926950533502,0.0016616716184564362,3.5560743660547806e-05,64,256,256,0.4787667130371704,0.18092299808087098,adam,1.0187635895685474e-05
15,0.0024980121008430123,0.0024980121008430123,0.0014117470753815355,1.1248613366724764e-05,128,512,256,0.44015312731162154,0.14827077917949763,adamw,0.000981824756903747
16,0.10258863199397426,0.10258863199397426,0.09330944688990712,0.00013088003137324127,256,256,256,0.47220065584060594,0.20811745154333672,sgd,3.7654648590342216e-05
17,0.0014887913302696067,0.0014887913302696067,0.0013273180177916142,7.386508325927118e-05,64,1024,128,0.5052963938694718,0.10624501099193238,adam,0.000188887005879354
18,0.05172603622422108,0.05172603622422108,0.042674602252567646,2.7270351292603972e-05,64,768,256,0.43737417299432024,0.1544701641774106,sgd,0.0001385847923883385
19,0.004083879404069388,0.004083879404069388,0.002165788055544387,1.7162945621261104e-05,64,256,256,0.46584868226999493,0.21279874111556638,adam,6.327754983612125e-05
20,0.0006301377823482098,0.0006301377823482098,0.0006250777717273022,7.123498417990455e-05,128,512,256,0.43653456977913807,0.08409225570642262,adamw,2.0612781170206732e-05
21,0.011287124604176807,0.011287124604176807,0.0057937234407290815,0.0005560094986576656,512,512,128,0.558778807460104,0.24585935328685685,sgd,0.0006636044762855568
22,0.11027144116102433,0.11027144116102433,0.09960177466273308,0.0002630197869185312,1024,512,768,0.4948196368120492,0.243021123896456,sgd,1.6079706158073564e-05
23,0.11751712661008445,0.11751712661008445,0.10737773776054382,0.0002073160407652295,1024,512,768,0.5188015947144589,0.2254048206115143,sgd,1.002325164414201e-05
24,0.11885442797626768,0.11885442797626768,0.10837333798408508,0.0001455910609411196,1024,512,768,0.554712491533362,0.2030055709482882,sgd,2.1644811219075063e-05
25,0.04041791269484231,0.04041791269484231,0.02736077141016722,0.0003731252865233215,256,512,256,0.4298900360078881,0.1659219077417204,sgd,4.089929580288999e-05
26,0.004721438267496319,0.004721438267496319,0.0026626237202435734,0.00010745476406241598,1024,256,768,0.44611379089639386,0.23178433623818892,adam,1.4119771677246693e-05
27,0.03807315539261201,0.03807315539261201,0.026542957397593055,5.139407545095126e-05,64,768,256,0.46819215323574614,0.12798512766409514,sgd,0.00011482569330535044
28,0.08444097313746304,0.08444097313746304,0.0710017658342981,3.257633673544915e-05,64,1024,768,0.5141968542875849,0.21890562889792792,sgd,2.7561248005852673e-05
29,0.004927271767994579,0.004927271767994579,0.0034137999871745707,9.057926329192444e-05,1024,512,256,0.4582251512660322,0.2481955327573641,adam,1.2920291614459912e-05
30,0.00491223871536857,0.00491223871536857,0.0024062339682132004,2.068257671872274e-05,1024,768,128,0.5290645965196794,0.1956050775133213,adamw,2.3315679422674618e-05
31,0.001027422200125756,0.001027422200125756,0.0006434721683035605,0.0004637990094203299,512,256,768,0.49077775337915247,0.10644485897149489,adamw,4.6875503706359996e-05
32,0.0019312358154839246,0.0019312358154839246,0.000781636917963624,3.2328148058826815e-05,1024,768,768,0.5478713359069333,0.0875296473607762,adamw,0.0003258711736697869
33,0.001977294808187123,0.001977294808187123,0.0007712629099842161,1.5421164133698556e-05,1024,768,768,0.5290630655443705,0.07217378314622622,adamw,0.0003047242774272596
34,0.001453797158319503,0.001453797158319503,0.0006617251638090238,6.325214692138331e-05,1024,768,768,0.5154073416079316,0.09037098166468777,adamw,0.0004966160280623606
35,0.0014725978681057387,0.0014725978681057387,0.0006011949953972362,2.437782473211141e-05,512,256,768,0.5009807801274258,0.05078042607477747,adamw,0.00024964059910484324
36,0.057508170439057905,0.057508170439057905,0.049267303993462755,4.564705095762939e-05,64,512,768,0.530872932230899,0.06177540723581365,sgd,0.00015311869106204802
37,0.0006671057965057423,0.0006671057965057423,0.0011703602113478074,0.00022457485162797152,128,1024,768,0.4850733886400132,0.13485540844031918,adamw,8.690567858285234e-05
38,0.001555241858157927,0.0015576192259114435,0.000750245428935159,0.00014932233377733419,256,512,128,0.5466777096738134,0.07723390004056595,adam,0.0004528633455752636
39,0.028307101478346135,0.028307101478346135,0.02011109975753886,4.058541477789458e-05,64,768,256,0.4296284206128886,0.09928989783543116,sgd,3.099158258966439e-05
40,0.07405129683261015,0.07405129683261015,0.06835965067148209,1.4265489994810162e-05,1024,256,768,0.5188211077972261,0.0629084585095193,sgd,5.682887964835691e-05
41,0.003911810271912365,0.003911810271912365,0.0029361966473145326,2.46621544697331e-05,64,512,256,0.4474390325688692,0.23455002108716871,adam,1.8066284708596216e-05
42,0.0013177449766270891,0.0013177449766270891,0.0010775439877761528,0.0003160062752874044,512,256,768,0.45874879428407117,0.12166262669235323,adamw,0.0002088951240791293
43,0.0005237198460310204,0.0005237198460310204,0.00042354683246230705,0.000930826888126965,512,256,768,0.42048126696127186,0.0757144140170828,adamw,0.00059258658423689
44,0.0007784056169282626,0.0007784056169282626,0.000816933682654053,0.0006518026905463989,512,256,768,0.4822378366238436,0.09477229332982506,adamw,0.0003529574867556181
45,0.002000086138390803,0.002000086138390803,0.000923509118729271,5.4820199767512266e-05,512,256,256,0.49757866885693086,0.11301282205179411,adamw,0.000819053247063088
46,0.0019472077272221864,0.0019472077272221864,0.000950097054447336,0.0003784197554360659,64,1024,768,0.5098748340948905,0.058832476683327924,adam,0.00024456174268469864
47,0.09193982990920696,0.09193982990920696,0.08392745845868618,9.120154591054548e-05,128,256,256,0.47308600037559756,0.17371420379353608,sgd,0.00017375970662758766
48,0.0015941813595288094,0.0015941813595288094,0.0011393461405532434,0.00011297367260487841,256,768,128,0.5353441412311354,0.13925776609405396,adam,0.00011013262497881513
49,0.0006287446622471782,0.0006287446622471782,0.0007308961111372989,0.00016977700968789832,64,512,256,0.5243625978652751,0.0814425019919971,adamw,8.250518057579472e-05
50,0.05843098761931974,0.05843098761931974,0.0531926978379488,3.962535748297499e-05,1024,256,768,0.4289031456607525,0.10367583200718089,sgd,1.2584481123216388e-05
