trial_number,best_train_loss,final_train_loss,final_val_loss,lr,batch_size,internal_layer_size,output_dim,margin,optimizer,weight_decay
1,0.009481763258047273,0.009481763258047273,0.008994122884076113,5.6115164153345e-05,64,512,256,0.18802042194087948,sgd,0.00011207606211860574
2,0.008275649504964728,0.008275649504964728,0.008050110462251344,7.309539835912905e-05,128,512,512,0.1608406803967395,sgd,0.0004138040112561013
3,0.0032844696196315387,0.0032844696196315387,0.002661826528160821,4.066563313514796e-05,128,512,512,0.17015539609159258,adam,0.0006161049539380963
4,0.033037954109577286,0.033037954109577286,0.02886496777319984,0.0001569639638866114,64,768,256,0.5714280374901257,adamw,2.497073714505272e-05
5,0.013238018176024416,0.013238018176024416,0.011842117063511329,1.0257563974185649e-05,64,768,128,0.2613691593173856,sgd,8.798929749689021e-05
6,0.01963595878712985,0.01963595878712985,0.015759493224322796,1.7345566642360933e-05,512,256,256,0.38057094925705676,adam,0.0003244160088734161
7,0.04875513571029415,0.04875513571029415,0.03957304507493973,2.8681134821030064e-05,512,512,128,0.6324593449502706,adam,7.148510793512978e-05
8,0.049425491313578145,0.049425491313578145,0.041504880128677486,0.0004325432427964555,64,768,256,0.6816583537686244,adam,3.997206819121805e-05
9,0.033937917557804634,0.033937917557804634,0.028025794326315953,3.712624179040528e-05,128,256,128,0.5450527499636664,adamw,0.00018391267498288997
10,0.01094645085027608,0.01094645085027608,0.010724025382660329,0.00018495216589727275,256,768,512,0.16333817885324442,sgd,1.883830778761975e-05
11,0.011934901198030127,0.011934901198030127,0.011477156169712543,0.000776735381623706,1024,1024,256,0.06159657769237323,sgd,1.0744583847151165e-05
12,0.018675208811069387,0.018675208811069387,0.015794420214016225,6.929790259989524e-05,128,512,512,0.33596698294338356,sgd,0.0008603712922135038
13,0.00886700151260106,0.00886700151260106,0.008723241277039051,8.819176073569919e-05,1024,512,512,0.05606324304454019,sgd,0.00022465392476467104
14,0.009467537229037499,0.009467537229037499,0.008913018507882953,0.00018526081758759246,256,512,512,0.20446702685773202,sgd,0.0003933480575431433
15,0.030640088496056414,0.030640088496056414,0.025889234095337284,6.577272217963763e-05,64,1024,256,0.42909765007811274,sgd,0.0001146959579468061
16,0.008136236234484694,0.008136236234484694,0.006843911819867318,0.0001133858401260482,128,512,256,0.27803943581002694,adamw,0.00012953685031874787
17,0.007342069736703316,0.007342069736703316,0.007136841858678226,0.00042579880439922363,128,512,512,0.1047275478440487,sgd,5.1492191153411867e-05
18,0.03701309267829529,0.03701309267829529,0.03199379340668393,2.1086908167827972e-05,64,512,512,0.4530400835258093,sgd,0.0004524540905246327
19,0.01044239532392548,0.01044239532392548,0.008852422330528497,5.0108006204724114e-05,512,256,256,0.2504757679116328,sgd,0.00021531350891894905
20,0.0019297900212490384,0.0019297900212490384,0.0016282863449305295,0.00010785006601337609,256,1024,128,0.1342609715042126,adamw,0.0007281935991825222
21,0.015921600657154103,0.01592358928743978,0.013458718918263913,0.00024871300993354505,1024,512,512,0.31015612597023823,sgd,0.00016155377070117762
22,0.004773347994343609,0.004773347994343609,0.003810315820258818,4.110275205609604e-05,128,512,512,0.20597253165928742,adam,0.0005768498279161787
23,0.0040195810562714245,0.0040195810562714245,0.003244402284934362,2.657625723440864e-05,128,512,512,0.18904226578157438,adam,0.0003043344699306969
24,0.0015136736936097884,0.0015136736936097884,0.0012262476994243415,5.932780282744935e-05,128,512,512,0.11300382892258552,adam,0.0009565432147560543
25,0.006080693346174324,0.006080693346174324,0.004878342903183797,1.5638943576700537e-05,128,512,512,0.22900657268993252,adam,0.0005266210017669334
26,0.002559005619999157,0.002559005619999157,0.0021118165007169556,3.754863508709282e-05,64,512,256,0.15184032851498827,adam,0.00029841162122205915
27,0.019847331058872326,0.019847331058872326,0.016805445798967457,7.637678915985091e-05,128,512,512,0.3446200602313031,sgd,0.000634305687465512
28,0.013293180621855551,0.013293180621855551,0.012933417282338384,0.00012344914284165515,128,1024,512,0.1053138112003027,sgd,7.018825073720045e-05
29,0.010046221199073016,0.010046221199073016,0.0084062939788553,5.32775815753164e-05,64,256,256,0.30297564913472697,adamw,0.00041239591114679936
30,0.003126862076866683,0.003126862076866683,0.00255079397258414,2.7851210693460445e-05,64,768,128,0.16842671670394,adam,4.01145709368764e-05
31,0.02687062965515925,0.02687062965515925,0.02234325259923935,0.0002530763049925093,512,512,256,0.5022289274760412,adamw,0.0002651005244211883
32,0.044750381907017966,0.044750381907017966,0.03636388946917786,1.085592193448114e-05,64,768,256,0.6142641504699223,adamw,2.3183966418305263e-05
33,0.014458442540625997,0.014458442540625997,0.01240084877617325,0.0001260146346924551,64,768,256,0.37624277111849125,adamw,2.08272971786167e-05
34,0.030169177653836424,0.030169177653836424,0.026646718098099823,0.00016557201738811773,64,768,256,0.5467397743367575,adamw,9.714265353720302e-05
35,0.0067807680153200356,0.0067807680153200356,0.005777564008014312,8.645338316487303e-05,64,768,128,0.25449266407326726,adam,1.3111536267048658e-05
36,0.021274820065163836,0.021274820065163836,0.017238169070333244,4.283336259730705e-05,512,256,256,0.41871730535564566,adamw,3.441858598577377e-05
37,0.07219964376343485,0.07219964376343485,0.06084872791543603,0.00032274630561604864,256,768,256,0.6392311029110846,sgd,2.9519487305318733e-05
38,0.000840884481309628,0.000840884481309628,0.0006666101980954409,0.00014461013789657452,1024,512,128,0.08311152370694835,adam,6.773569380235356e-05
