model,num_samples,num_spoofs,num_non_spoofs,roc_auc,youden_threshold,youden_accuracy,youden_precision,youden_recall,best_acc_threshold,best_accuracy
siglip_text,256886,165141,91745,0.4348609526502327,0.6090653,0.6196756537919544,0.6464103510409657,0.901520518829364,0.24,0.6429038561852339
siglip_image,50000,32105,17895,0.92325472104729,0.8572793,0.84184,0.9203057147820045,0.8251362716087837,0.84,0.84724
clip_text,256886,165141,91745,0.6117517306753175,0.89332294,0.5390834845028534,0.7371139250781281,0.43990892631145506,0.73,0.6450254198360362
clip_image,50000,32105,17895,0.9197422487220723,0.86004364,0.8345,0.9163172606568833,0.816850957794736,0.8300000000000001,0.84326
coca_text,256886,165141,91745,0.6903324237437755,0.86179626,0.6149848570961438,0.8567058722157598,0.48164901508407965,0.59,0.650105494265939
coca_image,50000,32105,17895,0.8272058673083861,0.9393863,0.73028,0.8829966676266097,0.668525151845507,0.92,0.74538
flava_text,256886,165141,91745,0.6534622526795143,0.9247332,0.54734785079763,0.8528838237205876,0.35754900357875996,0.74,0.643250313368576
flava_image,50000,32105,17895,0.7700255975009356,0.99841094,0.68996,0.8203851646019066,0.662108705809064,0.99,0.64236
