model,batch_size,num_samples,total_pairs,num_batches,latency_avg_ms,latency_min_ms,latency_max_ms,latency_std_ms,throughput_pairs_per_sec,cpu_avg_percent,gpu_memory_avg_gb,gpu_memory_max_gb
metrics,1,1990,3980,1990,0.009579780446037875,0.006358139216899872,0.06345892325043678,0.002107357494960225,208773.05187377075,0.18412452889447234,0.0,0.0
siglip_text,1,1990,3980,1990,4.276988660476765,3.8786481600254774,5.621884949505329,0.12395782052906813,467.61872868212276,1.429450769472362,0.7649970054626465,0.7649970054626465
clip_text,1,1990,3980,1990,5.202277031511855,4.95543098077178,7.316121133044362,0.15291250772061782,384.4470388419073,1.6080354899497487,0.5719766616821289,0.5719766616821289
coca_text,1,1990,3980,1990,3.5163821258240535,3.291693050414324,6.04366697371006,0.08081856245951921,568.7663992238347,1.255704302763819,0.5785417556762695,0.5785417556762695
flava_text,1,1990,3980,1990,5.029449351927518,4.590281052514911,7.621564902365208,0.12973535350117507,397.6578468244257,1.532622487437186,0.9081635475158691,0.9081635475158691
siglip_image,1,1990,3980,1990,8.354691787267187,8.279348956421018,11.698385933414102,0.10096696284995732,239.38644906662657,6.590745917085426,0.7649970054626465,0.7649970054626465
clip_image,1,1990,3980,1990,7.648380237383459,7.5437091290950775,10.12951391749084,0.0918431436505674,261.4932754290218,6.571450612437186,0.5744180679321289,0.5744180679321289
coca_image,1,1990,3980,1990,11.641982592871628,11.475809151306748,23.72219506651163,0.297543325739444,171.7920452161299,6.102208699748744,0.5785417556762695,0.5785417556762695
flava_image,1,1990,3980,1990,8.392849788256926,8.309460012242198,10.634180856868625,0.06067124390338519,238.29808115931635,6.512383401381909,0.9081635475158691,0.9081635475158691
vit,1,1990,3980,1990,7.707560999113037,7.608056999742985,14.585254015401006,0.19534439076642168,259.48545852963787,6.489951319095477,0.3297595977783203,0.3297595977783203
resnet,1,1990,3980,1990,8.575076427914427,8.427185006439686,12.545295991003513,0.11343075987233069,233.23407281705437,6.522397927135678,0.09671545028686523,0.09671545028686523
vitmae,1,1990,3980,1990,6.9070097915453825,6.809106096625328,10.521146934479475,0.09675788153369928,289.560904119193,6.182578910175878,0.3285360336303711,0.3285360336303711
pytesseract,1,1990,3980,1990,2.378599859198471,2.141975099220872,3.8863879162818193,0.08072303612096578,840.830790544968,0.8834092336683417,0.0079345703125,0.0079345703125
text,1,1990,3980,1990,17.108411891573112,16.61656191572547,22.641153074800968,0.2108617517447526,116.90155770595611,2.860500549623115,0.7656073570251465,0.7656073570251465
image,1,1990,3980,1990,22.81966543201844,22.271773079410195,30.324659077450633,0.48566725563588514,87.64370389032021,4.6804864164572875,0.7647528648376465,0.7647528648376465
small,1,1990,3980,1990,22.911699772133826,22.327296901494265,27.226826874539256,0.4796720362837819,87.29164662119413,4.658413159547739,0.7656073570251465,0.7656073570251465
medium,1,1990,3980,1990,22.91113881817808,22.22095988690853,34.9064408801496,0.823053487841695,87.2937838608514,4.648343278894473,0.7647528648376465,0.7647528648376465
large,1,1990,3980,1990,22.882343969546522,22.30014489032328,34.92282307706773,0.764183543710297,87.40363324062189,4.657510599874373,0.7656073570251465,0.7656073570251465
total_1f,1,1990,3980,1990,27.444361941186926,26.655681198462844,31.92206099629402,0.40928769599068604,72.87471300247336,4.349877905150755,1.522059440612793,1.522059440612793
total_3f,1,1990,3980,1990,27.344855988730476,26.500545209273696,35.064833937212825,0.6736177244696616,73.13989881037413,4.373284783291457,1.522669792175293,1.522669792175293
total_5f,1,1990,3980,1990,27.43970079174331,26.527087902650237,37.84680110402405,0.6680467931660288,72.88709214357783,4.276652402638191,1.521571159362793,1.521571159362793
total_5f_img,1,1990,3980,1990,22.814539038276664,22.349300794303417,32.410654006525874,0.4882736574553556,87.6633973031205,4.633512484296482,0.7660956382751465,0.7660956382751465
