trial_number,best_train_loss,final_train_loss,final_val_loss,val_roc_auc,lr,batch_size,internal_layer_size,output_dim,optimizer,weight_decay,m_neg,gap
1,,,,0.0,5.6115164153345e-05,64,512,256,adam,3.549878832196506e-06,0.8104242242959538,0.09247564316322379
2,,,,0.0,7.309539835912905e-05,128,512,768,adam,0.0007025166339242157,0.876563203307456,0.12083973481164612
3,,,,0.0,4.066563313514796e-05,128,512,768,adamw,0.00021154290797261214,0.8739498941564189,0.1294827350427649
4,,,,0.0,0.0001569639638866114,64,768,256,adam,0.0009133995846860973,0.8572244769296657,0.059871568153417244
5,,,,0.0,1.0257563974185649e-05,64,768,128,adamw,8.178476574339548e-05,0.8687212742576327,0.08722149251619493
6,,,,0.0,1.7345566642360933e-05,512,256,256,adamw,5.595986878006084e-06,0.821038292303563,0.11555511385430486
7,,,,0.0,2.8681134821030064e-05,512,512,128,adam,2.138729075414893e-06,0.8027935162541942,0.08271077886262564
8,,,,0.0,0.0004325432427964555,64,768,256,adam,5.6930747676446135e-06,0.8297248505892385,0.07008783098167697
9,,,,0.0,3.712624179040528e-05,128,256,128,adam,0.00015298506868937454,0.8167783132719253,0.10323058305935795
10,,,,0.0,0.00018495216589727275,256,768,768,adamw,1.4461256820152148e-05,0.8736729988736734,0.05375209441459933
11,,,,0.0,0.000776735381623706,1024,1024,256,adam,1.306699123790698e-06,0.7815594799658456,0.10240835271723653
12,,,,0.0,6.634149283908246e-05,128,512,768,adam,3.517952516131097e-05,0.8542235534073805,0.13413356380730398
13,,,,0.0,9.138060935551698e-05,256,512,768,adam,0.000818841388955908,0.8424919219712278,0.11550946224348835
14,,,,0.0,0.00018000554787310762,1024,512,256,adam,1.9828518544319734e-05,0.7926984844001087,0.10177060324267367
15,,,,0.0,6.694816835538174e-05,128,1024,768,adam,4.773012996846547e-06,0.801794640995298,0.12062277671254514
16,,,,0.0,0.0003592718638306787,64,512,256,adam,0.00037339920591605093,0.838959850184576,0.041877642594258864
17,,,,0.0,2.220585175007058e-05,128,512,768,adam,5.5915555876457856e-05,0.8135076570289926,0.07793526665746493
18,,,,0.0,5.3608791153287074e-05,64,512,256,adam,1.0584011055150882e-05,0.8575824886049626,0.09695786669968284
19,,,,0.0,0.0001166648440837662,1024,1024,768,adamw,3.1057508155119937e-06,0.8355659928258682,0.13887370605174276
20,,,,0.0,0.00028827413730968547,512,256,128,adam,1.2833762276435251e-06,0.8082646893759979,0.1218219871956319
21,,,,0.0,1.468841796514194e-05,256,512,768,adam,0.0004249052015577837,0.8266936567042138,0.09425773205460367
22,,,,0.0,4.175498775355956e-05,128,512,768,adamw,0.00018966673968112962,0.879817364003516,0.12870607507513318
23,,,,0.0,8.79012530558856e-05,128,512,768,adamw,0.0004276340804536046,0.8674151640842119,0.11038153699087701
24,,,,0.0,3.411599403558147e-05,128,512,768,adamw,0.00019728022938598076,0.8457358268811623,0.1318769653994446
25,,,,0.0,5.221298701815947e-05,128,512,768,adamw,6.256780370983618e-05,0.8782768444167325,0.12655290658355597
26,,,,0.0,2.2715354517823435e-05,64,512,256,adamw,0.00013171133143615355,0.8637031134748101,0.13994134940876854
27,,,,0.0,0.00011939179663976321,128,512,768,adamw,0.00031345814946987644,0.8506832928709965,0.1126945870543621
28,,,,0.0,7.059151876454528e-05,128,1024,768,adam,0.0006566309081620355,0.7927958523743791,0.07277860230401442
29,,,,0.0,4.2257948906378344e-05,64,256,128,adamw,3.1926462358904234e-05,0.8631599212892617,0.10713875037045906
30,,,,0.0,0.0001384201810675307,64,768,256,adam,0.0006770576372844178,0.8734370337577091,0.12229768404276273
31,,,,0.0,5.459423412478761e-05,256,512,256,adam,9.849147877820075e-05,0.860623055068922,0.06549190065216082
32,,,,0.0,0.00018774928106756172,64,768,256,adam,0.0002761945068126225,0.8698267235694689,0.08641921090640979
33,,,,0.0,8.551968584600772e-05,64,768,256,adam,0.0009660640693020227,0.8706789145049232,0.057594614866348905
34,,,,0.0,1.0948099653972407e-05,512,768,256,adam,0.0005877575201739951,0.8501979712665246,0.042535659843942676
35,,,,0.0,2.5980690920245914e-05,64,768,128,adamw,0.0005440686092001156,0.8797243159156855,0.09180378837415613
36,,,,0.0,0.00015099276072662408,64,256,256,adam,0.00024982821733528313,0.8627533116653657,0.061165256806010794
