trial_number,best_train_loss,final_train_loss,final_val_loss,val_roc_auc,lr,batch_size,internal_layer_size,output_dim,optimizer,weight_decay,m_neg,gap,w_pos,w_neg
1,0.0007392767624567341,0.0007392767624567341,0.000503427501594363,0.9817109478152934,5.6115164153345e-05,64,512,256,adam,3.549878832196506e-06,0.8108484485919075,0.10970372201012518,1.0,0.6452476589558902
2,7.626780698254304e-05,7.626780698254304e-05,5.692414534406123e-05,0.9689214541463704,3.8234752246751835e-05,64,256,256,adamw,0.0007886714129990489,0.9116794696232922,0.06787661614294042,1.0,0.07501351274130823
3,0.000250744471231044,0.000250744471231044,0.0002126931314705871,0.9540175934988988,0.000233596350262616,1024,512,768,adamw,0.00048359527764659497,0.869579995762217,0.1851561046543922,1.0,0.07070895346946894
4,0.0013305136229329404,0.0013305136229329404,0.0008777208568062633,0.9808021019771906,2.4658447214487366e-05,1024,768,768,adam,1.0388823104027941e-06,0.9130922856909668,0.14430289533104726,1.0,4.367939003117412
5,0.0022534348993519674,0.0022534348993519674,0.0014154622098430992,0.967265779423089,0.000348771262454593,512,256,768,adam,0.00013795402040204168,0.9021570097233794,0.11664266753820428,1.0,5.722578037877245
6,0.007168106332031359,0.007168106332031359,0.00602523117343996,0.9804653907566606,9.718319944817387e-05,64,1024,768,adam,7.400385759087375e-06,0.7822442574508008,0.18664255394508888,1.0,7.268881889564393
7,0.00012584069829476766,0.00012584069829476766,6.825815162301297e-05,0.953373359376865,0.00018484491720988634,512,512,768,adam,3.4059785435329935e-05,0.8334822006297558,0.05220048398943875,1.0,0.08653447767940137
8,0.0013016556429694358,0.0013016556429694358,0.001023892965019461,0.9541119763245268,4.7340227734041895e-05,64,256,128,adam,1.4270403521460853e-06,0.8057292928473223,0.18257051833366422,1.0,0.1870020185103285
9,0.0025849523467579385,0.0025849523467579385,0.0016198303967513898,0.9791656828315352,1.9489008462344228e-05,128,512,128,adam,3.627066608804412e-06,0.7581550283109528,0.12226965920576593,1.0,3.1365242603877554
10,0.0004898909533011241,0.0004898909533011241,0.00034063012863043695,0.9651875928907363,1.0793832090127281e-05,1024,512,256,adamw,0.0002829219225536188,0.8610401623198924,0.11063360988764123,1.0,0.18977979737299563
11,0.000125335859206053,0.000125335859206053,0.00011777957874983258,0.9761299887411504,0.000776735381623706,256,1024,256,adamw,1.644172323816344e-05,0.8222623992883619,0.017848103204450558,1.0,0.9661089587863573
12,0.0009159419920629347,0.0009159419920629347,0.0007139160705264657,0.980914259182166,5.6340641851096245e-05,1024,768,256,adam,1.120935063841341e-06,0.9380460318322434,0.14842034231628773,1.0,24.520494067799383
13,0.00017835308489888108,0.00017835308489888108,0.00011339585780660855,0.976863356147853,7.862604480580084e-05,256,768,256,adam,3.302659242446788e-06,0.9468321785367644,0.15311263486502974,1.0,0.8865125158645244
14,0.002427849971888408,0.002427849971888408,0.0018955246697156395,0.9778471549753364,4.848401495672273e-05,128,768,256,adam,3.0952090692393555e-05,0.7983109865960679,0.08593524368410921,1.0,24.684122665330378
15,0.00015029130762297,0.00015029130762297,9.881329606287181e-05,0.9743251922029026,0.0001446404856131268,1024,768,256,adam,2.920017033523466e-06,0.9435235332251806,0.1499755914284743,1.0,0.5043048235241339
16,0.0026362338380882242,0.0026362338380882242,0.0021779745688163647,0.9752946582588042,7.215896706004409e-05,64,512,256,adam,9.173121210861137e-06,0.88014939496924,0.09367628088136408,1.0,21.59632100300884
17,0.0025252408887341607,0.0025252408887341607,0.00192718159564575,0.9818726598156309,2.3225894226724924e-05,64,768,128,adam,1.9199042055918845e-06,0.8430200912316843,0.13614398563133948,1.0,1.997511892457535
18,0.0005719983550539509,0.0005719983550539509,0.0003079249886265707,0.9788258785204815,1.1221696469620235e-05,64,1024,128,adam,8.482859848614704e-05,0.8408603529315776,0.051038827947929036,1.0,2.0018303315635277
19,0.000809930304374116,0.000809930304374116,0.0006359471301073624,0.978927384167245,2.3526445022489465e-05,64,512,128,adamw,6.18078151080527e-06,0.7564615990969276,0.12857941428119476,1.0,0.4156776828670608
20,0.004001556426638294,0.004001556426638294,0.003090144591821227,0.9789796181889059,2.8042994480059236e-05,64,768,128,adam,2.1277120176644514e-06,0.8223794098931244,0.1669519189847577,1.0,1.9771526260281966
21,0.0004989728101074663,0.0004989728101074663,0.00030213856537956866,0.9797218510029542,1.4817356772012372e-05,64,768,128,adam,1.5593797657598086e-05,0.7853207860009712,0.09392263722974056,1.0,0.41469736004725416
22,0.0028312558335578165,0.0028312558335578165,0.0021511675557121636,0.9818828539449624,5.795197175939839e-05,1024,768,256,adam,1.0797295234436147e-06,0.888561749711304,0.1355983356901483,1.0,11.444469912610547
23,0.002752102753728644,0.002752102753728644,0.0020933706720825283,0.9818689786022612,3.484957934319187e-05,512,768,256,adam,1.977574427280119e-06,0.8901244889339499,0.1302233884683454,1.0,10.325664147490988
24,0.0024930800157552755,0.0024930800157552755,0.0019133918220177292,0.9815750914378549,3.350403868581751e-05,512,768,256,adam,1.8287796325804981e-06,0.8950323099398828,0.13213288427706946,1.0,10.677338758837255
25,0.0028618160884546075,0.0028618160884546075,0.00234458971535787,0.9817276984252422,0.0001256935767310123,512,768,128,adam,4.5835226779845625e-06,0.8825927987449709,0.17009993218784392,1.0,12.188641840834938
26,0.006307096864469447,0.006307096864469447,0.00463247976731509,0.9784017548191659,1.6439797082848892e-05,512,768,256,adam,1.8882555366857789e-06,0.8456124358900658,0.1405826216931122,1.0,10.644233418674565
27,0.002531257504148498,0.002531257504148498,0.0018027820359161006,0.9804650640217462,3.446485194734911e-05,128,768,128,adam,1.2008836191365035e-05,0.8598262279993408,0.16859125911000014,1.0,2.0876316409087248
28,0.0006341528711415395,0.0006341528711415395,0.0005372858460759744,0.9845009154676658,7.369042628989038e-05,256,768,256,adamw,2.082406463550162e-06,0.9263960576398228,0.13367152794271617,1.0,3.5431335285042342
29,0.0006586567638744179,0.0006586567638744179,0.0005407139884482604,0.9809186592123477,0.00030677997564645856,256,768,256,adamw,1.0580300578925217e-06,0.923528818376949,0.15955328616961734,1.0,3.2576087755028764
30,0.0005016200916158095,0.0005016200916158095,0.0003805538231972605,0.9809612436628673,6.113613397758836e-05,256,768,128,adamw,5.227860963708215e-06,0.9257075403505871,0.09958721757294024,1.0,1.6788670778785457
31,0.000657737371962092,0.000657737371962092,0.0004754401896207128,0.9819211472769389,9.768159323317815e-05,256,256,256,adamw,2.823198659667666e-05,0.8696584458068594,0.08040588506110333,1.0,1.3649001127704328
32,0.0006085517499713731,0.0006085517499713731,0.0004193945016595535,0.9832110095899748,9.962563334316472e-05,256,256,256,adamw,5.2439641446935075e-05,0.8671031309349385,0.07958141622208104,1.0,1.235369735376086
33,0.00044999278831252195,0.00044999278831252195,0.0002895200181228574,0.9827660184187877,8.718912124860249e-05,256,256,256,adamw,5.473466645051564e-05,0.8698860819240527,0.07076866355564426,1.0,1.0816957561370972
34,0.0006156512882713514,0.0006156512882713514,0.0004145889120991342,0.9818798479837493,0.00010671314317411705,256,256,256,adamw,5.771416051346955e-05,0.8669591177308743,0.07918929757545146,1.0,1.3152141118199403
35,0.00024264606871269263,0.00024264606871269263,0.00015992747103155125,0.9828927697832762,0.00016289423650891373,256,256,256,adamw,0.00015222049352684277,0.8705987223849246,0.06123016987512104,1.0,0.6968911037427258
36,0.0002321211224473884,0.0002321211224473884,0.00017072709561034572,0.981189065027567,0.00018837476968039374,256,256,256,adamw,0.00019577590975414076,0.9029685192928139,0.05946644023388871,1.0,0.6906864347185091
37,4.7177227156030625e-05,4.7177227156030625e-05,3.762720143640763e-05,0.9788392964343027,0.0003214358876343656,256,256,256,adamw,0.0009656893090789139,0.910088683570882,0.03581644444673063,1.0,0.2624735786301236
38,0.0007104262240475775,0.0007104262240475775,0.0005524651656742208,0.9792974441313791,0.00016012960126674306,256,256,768,adamw,6.558078142211948e-05,0.8561282137554478,0.06828530761443721,1.0,3.7055256997567194
39,2.412318250599703e-05,2.412318250599703e-05,1.7107920211856253e-05,0.9749958482883534,0.0002255293487515716,256,256,256,adamw,0.0005426918275917833,0.8746770085793634,0.04321593097668427,1.0,0.04415609100736583
40,6.0774473793976354e-05,6.0774473793976354e-05,4.472455048016854e-05,0.98188039254194,0.0006167035865630852,256,256,768,adamw,0.0001112056512033975,0.925389787305765,0.03152333482339369,1.0,0.6660874402332148
41,0.0008928100682063887,0.0008928100682063887,0.0005751494820287917,0.9806057342935912,0.00012509772918993327,256,256,256,adamw,4.20727632231988e-05,0.8513678791703376,0.06755384079442286,1.0,5.212664348692839
42,0.0005849544453125549,0.0005849544453125549,0.000404470235662302,0.9818295743715754,8.955236197117627e-05,256,256,256,adamw,2.3259080855926215e-05,0.8677489295982329,0.07816934683348445,1.0,1.1804880241083502
43,0.001499894432066003,0.001499894432066003,0.0010913025136687793,0.979926234583122,0.0001036980134560379,256,256,256,adamw,0.00019512282485800072,0.8747648793301831,0.10956859428268333,1.0,1.4361133348839594
44,0.0004114621561019391,0.0004114621561019391,0.000291054214903852,0.9810507036824505,0.0002246088513671165,256,256,256,adamw,0.0003132973331122306,0.8995237607756351,0.07076036683106277,1.0,0.9332426745965702
