trial_number,best_train_loss,final_train_loss,final_val_loss,val_roc_auc,lr,batch_size,internal_layer_size,output_dim,optimizer,weight_decay,m_neg,gap,w_pos,w_neg
1,0.0007357356127061034,0.0007357356127061034,0.0005020444142553587,0.982023611346118,5.6115164153345e-05,64,512,256,adam,3.549878832196506e-06,0.8108484485919075,0.10970372201012518,1.0,0.6452476589558902
2,7.659100969806937e-05,7.659100969806937e-05,5.7259391706694914e-05,0.971460859683996,3.8234752246751835e-05,64,256,256,adamw,0.0007886714129990489,0.9116794696232922,0.06787661614294042,1.0,0.07501351274130823
3,0.0002507362625017651,0.0002507362625017651,0.0002153383436962031,0.948618691119101,0.000233596350262616,1024,512,768,adamw,0.00048359527764659497,0.869579995762217,0.1851561046543922,1.0,0.07070895346946894
4,0.0013378851084708309,0.0013378851084708309,0.0008902563480660319,0.9800557087385645,2.4658447214487366e-05,1024,768,768,adam,1.0388823104027941e-06,0.9130922856909668,0.14430289533104726,1.0,4.367939003117412
5,0.002266631856893776,0.002266631856893776,0.0015796453808434308,0.9670941564636791,0.000348771262454593,512,256,768,adam,0.00013795402040204168,0.9021570097233794,0.11664266753820428,1.0,5.722578037877245
6,0.007192489051710328,0.007192489051710328,0.0059848712166996705,0.9795717489832445,9.718319944817387e-05,64,1024,768,adam,7.400385759087375e-06,0.7822442574508008,0.18664255394508888,1.0,7.268881889564393
7,0.0001304826773856935,0.0001304826773856935,8.225625406339531e-05,0.9586589283059953,0.00018484491720988634,512,512,768,adam,3.4059785435329935e-05,0.8334822006297558,0.05220048398943875,1.0,0.08653447767940137
8,0.0012966398625182934,0.0012966398625182934,0.0010304975291494589,0.9564126257689816,4.7340227734041895e-05,64,256,128,adam,1.4270403521460853e-06,0.8057292928473223,0.18257051833366422,1.0,0.1870020185103285
9,0.002648572332796734,0.002648572332796734,0.0018201827409064185,0.9769501805057927,1.9489008462344228e-05,128,512,128,adam,3.627066608804412e-06,0.7581550283109528,0.12226965920576593,1.0,3.1365242603877554
10,0.0004896340270349034,0.0004896340270349034,0.0003369553713127971,0.9667648076698887,1.0793832090127281e-05,1024,512,256,adamw,0.0002829219225536188,0.8610401623198924,0.11063360988764123,1.0,0.18977979737299563
11,0.00012550659189902998,0.00012550659189902998,0.00012752976026604302,0.9761590245838836,0.000776735381623706,256,1024,256,adamw,1.644172323816344e-05,0.8222623992883619,0.017848103204450558,1.0,0.9661089587863573
12,0.0009185817442025083,0.0009185817442025083,0.0007637536153197288,0.9793706327522214,5.6340641851096245e-05,1024,768,256,adam,1.120935063841341e-06,0.9380460318322434,0.14842034231628773,1.0,24.520494067799383
13,0.0010986719433595117,0.0010986719433595117,0.0007561134698335081,0.9764828406664556,2.1091282310699752e-05,256,768,768,adam,3.208361129388771e-06,0.8873996414725491,0.15311263486502974,1.0,0.8865125158645244
14,0.00045219604879431573,0.00045219604879431573,0.00028148448095462414,0.9742745918558143,9.920562866268202e-05,128,768,256,adam,3.0952090692393555e-05,0.9408836701758982,0.08593524368410921,1.0,2.537992098497171
15,0.0012263602048033688,0.0012263602048033688,0.0009216902835760266,0.9626334842819595,2.5438397044711134e-05,1024,768,128,adam,3.1005084437562454e-06,0.8427995191535101,0.14546479898462777,1.0,0.31558662890147987
16,0.0005643844749795713,0.0005643844749795713,0.000294275185366526,0.9794693284787206,1.131970925568404e-05,64,512,768,adam,9.150158795735537e-06,0.8038272341221553,0.09026834044052076,1.0,0.4767524311016171
17,0.0016196225767928713,0.0016196225767928713,0.0013337709889435774,0.9843178567862493,6.02640523968047e-05,64,768,256,adam,1.0825663200074795e-06,0.7543127648852992,0.13317041321657655,1.0,2.1673144691421466
18,0.0011034722331397875,0.0011034722331397875,0.0005938080148263479,0.9593588598397831,8.030579240043746e-05,64,1024,256,adam,8.482859848614704e-05,0.7641719056053726,0.051038827947929036,1.0,1.7796556059239377
19,0.0034337346307935653,0.0034337346307935653,0.00298346497139235,0.9778964048181116,0.00016450424398029812,64,512,256,adamw,2.3672435371158307e-06,0.7780654053461171,0.12621373584623582,1.0,12.15706915569717
20,0.00313787281171662,0.00313787281171662,0.0024229906021860565,0.9776182444942554,6.429002184975101e-05,64,768,256,adam,9.209021072749232e-06,0.7969895525593688,0.1651693804825906,1.0,1.494336937244674
21,0.0009722039280541032,0.0009722039280541032,0.0006368392251675153,0.9622687827704228,0.0004327768787370988,64,768,256,adam,5.250920930317466e-06,0.7786172143100977,0.09392263722974056,1.0,0.634952884221876
22,0.004099830046669039,0.004099830046669039,0.0027051921235397456,0.9792838083942818,3.3329816994656666e-05,1024,768,256,adam,1.0762090372118442e-06,0.7509038717633296,0.1355717947526152,1.0,4.500066372734635
23,0.008590298534605864,0.008590298534605864,0.006045898585580289,0.979191603801417,1.7143563279150297e-05,512,768,768,adam,1.979153634999863e-06,0.8261019950205006,0.16545759934600207,1.0,10.325664147490988
24,0.0013236538395910884,0.0013236538395910884,0.0009164841059828178,0.9804333271703869,3.0141875683333254e-05,256,768,128,adam,1.990329736865804e-06,0.8769947381787349,0.10203959592946335,1.0,1.6481903247133884
25,0.0007407530999761134,0.0007407530999761134,0.0004799904520041309,0.978488731653399,0.0001256935767310123,256,768,128,adam,1.724877614888154e-05,0.8690527417666858,0.07294883626031831,1.0,1.814047605550011
26,0.0005047790721698045,0.0005047790721698045,0.00032641685502312614,0.9792875331723067,3.50620134963262e-05,256,512,128,adam,1.985385718088431e-06,0.8456124358900658,0.095668192138974,1.0,0.43027243377861324
27,0.0012027120356964092,0.0012027120356964092,0.0008115192656987346,0.9803645385797259,6.795744333099262e-05,256,256,128,adam,5.684466698847566e-06,0.8171466183760511,0.10640074527904567,1.0,1.2309231901945255
28,0.001573424987056396,0.001573424987056396,0.0013096012415281862,0.9820635165703394,4.145547807891996e-05,128,1024,128,adamw,4.234225764125965e-06,0.8871932622373396,0.12434983339693587,1.0,2.6941651879936352
29,0.0017925959555201995,0.0017925959555201995,0.0015688449663074711,0.9845534108772579,4.764094274388563e-05,128,1024,256,adamw,1.556014968288203e-05,0.7927644947914233,0.1294851433788859,1.0,2.809138282594251
