trial_number,best_train_loss,final_train_loss,final_val_loss,val_roc_auc,lr,batch_size,internal_layer_size,output_dim,optimizer,weight_decay,m_neg,gap,w_pos,w_neg
1,0.0006040828720789097,0.0006040828720789097,0.0005084851364253658,0.9848952191624538,5.6115164153345e-05,64,512,256,adam,3.549878832196506e-06,0.8108484485919075,0.10970372201012518,1.0,0.6452476589558902
2,7.244762936481864e-05,7.244762936481864e-05,5.737996837808261e-05,0.9781031191073357,3.8234752246751835e-05,64,256,256,adamw,0.0007886714129990489,0.9116794696232922,0.06787661614294042,1.0,0.07501351274130823
3,0.000243673970323301,0.000243673970323301,0.0002188426544307731,0.9630428831297964,0.000233596350262616,1024,512,768,adamw,0.00048359527764659497,0.869579995762217,0.1851561046543922,1.0,0.07070895346946894
4,0.0012046869095430498,0.0012046869095430498,0.0008984100422821939,0.9846987207848887,2.4658447214487366e-05,1024,768,768,adam,1.0388823104027941e-06,0.9130922856909668,0.14430289533104726,1.0,4.367939003117412
5,0.002026134338591289,0.002026134338591289,0.0013265836925711483,0.9725576652272324,0.000348771262454593,512,256,768,adam,0.00013795402040204168,0.9021570097233794,0.11664266753820428,1.0,5.722578037877245
6,0.005914773173848718,0.005914773173848718,0.005499377729561014,0.9837785917010725,9.718319944817387e-05,64,1024,768,adam,7.400385759087375e-06,0.7822442574508008,0.18664255394508888,1.0,7.268881889564393
7,0.00011020156909373707,0.00011020156909373707,6.264789954002481e-05,0.9612826096692275,0.00018484491720988634,512,512,768,adam,3.4059785435329935e-05,0.8334822006297558,0.05220048398943875,1.0,0.08653447767940137
8,0.0012687235496563122,0.0012687235496563122,0.0010316875981238142,0.9661620253173381,4.7340227734041895e-05,64,256,128,adam,1.4270403521460853e-06,0.8057292928473223,0.18257051833366422,1.0,0.1870020185103285
9,0.0021205132128243377,0.0021205132128243377,0.001569957605745832,0.9824625688125512,1.9489008462344228e-05,128,512,128,adam,3.627066608804412e-06,0.7581550283109528,0.12226965920576593,1.0,3.1365242603877554
10,0.0004890350913455655,0.0004890350913455655,0.0003644881391664967,0.9720632499546492,1.0793832090127281e-05,1024,512,256,adamw,0.0002829219225536188,0.8610401623198924,0.11063360988764123,1.0,0.18977979737299563
11,5.7107935947809185e-05,5.7107935947809185e-05,7.303445456727787e-05,0.9810216024927347,0.000776735381623706,256,1024,256,adamw,1.644172323816344e-05,0.8222623992883619,0.017848103204450558,1.0,0.9661089587863573
12,0.0007996102737651385,0.0007996102737651385,0.0006369836919475347,0.9839106143888482,5.6340641851096245e-05,1024,768,256,adam,1.120935063841341e-06,0.9380460318322434,0.14842034231628773,1.0,24.520494067799383
13,0.0010328577314067506,0.0010328577314067506,0.0007536970617366024,0.9804409509850578,2.1091282310699752e-05,256,768,768,adam,3.208361129388771e-06,0.8873996414725491,0.15311263486502974,1.0,0.8865125158645244
14,0.0004027579564593184,0.0004027579564593184,0.0002626964315489123,0.9768539897469714,9.920562866268202e-05,128,768,256,adam,3.0952090692393555e-05,0.9408836701758982,0.08593524368410921,1.0,2.537992098497171
15,0.0012105923166510256,0.0012105923166510256,0.0009390262886881829,0.9713694174725983,2.5438397044711134e-05,1024,768,128,adam,3.1005084437562454e-06,0.8427995191535101,0.14546479898462777,1.0,0.31558662890147987
