trial_number,best_train_loss,final_train_loss,final_val_loss,val_roc_auc,lr,batch_size,internal_layer_size,output_dim,optimizer,weight_decay,m_neg,gap,w_pos,w_neg
1,0.0006515562827746403,0.0006515562827746403,0.0004801045637577772,0.9918399479872868,0.00023688639503640813,1024,1024,768,adamw,0.0007114476009343421,0.8365996970905702,0.11197316968394073,1.0,1.0
2,0.0008142414343619377,0.0008142414343619377,0.0007522015308495611,0.9917662583729088,0.0001432249371823026,1024,1024,768,adamw,2.9375384576328313e-06,0.8029041806084101,0.1173235229154987,1.0,1.0
3,0.0006019661546927135,0.0006019661546927135,0.000577491836156696,0.9907901704894071,0.0003991305878561678,1024,1024,768,adamw,0.000133112160807369,0.8010292247147902,0.11939819704323988,1.0,1.0
4,0.000369189395890001,0.000369189395890001,0.0005388841265812517,0.9903629319152399,0.0006798962421591129,1024,1024,768,adamw,4.335281794951567e-06,0.8090912483603551,0.10366809019706869,1.0,1.0
5,0.0005866242534058092,0.0005866242534058092,0.0006724758946802467,0.9914428997192171,0.0002014847788415866,1024,1024,768,adamw,3.752055855124284e-05,0.8215972509321058,0.10582458280396084,1.0,1.0
6,0.000491341233267734,0.000491341233267734,0.00046728937013540417,0.991033980082588,0.00040912205744437856,1024,1024,768,adamw,2.62108787826544e-06,0.8146072324267609,0.10732723686587384,1.0,1.0
7,0.0005724358370014448,0.0005724358370014448,0.0006083388812839985,0.9912568132942599,0.0002858051065806936,1024,1024,768,adamw,0.0002267398652378039,0.8099836891079181,0.11028468876827223,1.0,1.0
8,0.000457445057394097,0.000457445057394097,0.0004786044708453119,0.991182709815657,0.0003912141628549697,1024,1024,768,adamw,1.3783237455007196e-06,0.830377242595072,0.10341048247374583,1.0,1.0
9,0.0008622011144845081,0.0008622011144845081,0.000629379547899589,0.9918350687458972,0.00011615865989246468,1024,1024,768,adamw,0.0007025166339242157,0.8482816016537279,0.11616794696232922,1.0,1.0
10,0.0006342306168873471,0.0006342306168873471,0.0005073527456261218,0.9915994928725609,0.00020165721691808595,1024,1024,768,adamw,1.9634341572933354e-06,0.8342116513256078,0.10880304987479203,1.0,1.0
11,0.0005355340444093228,0.0005355340444093228,0.0007182784494943917,0.9895591204609767,0.0008813259224734663,1024,1024,768,adamw,2.6301587628514242e-05,0.8429417235661649,0.1127959638625347,1.0,1.0
12,0.0008395141642778275,0.0008395141642778275,0.0005819308862555772,0.9920341810027782,0.00010762910955603187,1024,1024,768,adamw,0.0005284384205738843,0.8493468070870023,0.1143352594499124,1.0,1.0
13,0.0007254195266536304,0.0007254195266536304,0.0005111340375151485,0.9918329994247723,0.00016377533422267027,1024,1024,768,adamw,0.0009710824107682517,0.8405048425224978,0.1123652570302568,1.0,1.0
14,0.0008220024459178046,0.0008220024459178046,0.0005829931586049497,0.9918125022544709,0.00011150136033166265,1024,1024,768,adamw,0.0003478377667498168,0.8495343564720762,0.11390628647757868,1.0,1.0
15,0.0006680453489582073,0.0006680453489582073,0.0006208665960002691,0.9912916432361428,0.0002673697719530744,1024,1024,768,adamw,8.009686606953948e-05,0.8365497079036024,0.1153472196476119,1.0,1.0
16,0.00048386392674209285,0.00048386392674209285,0.0005240241327555851,0.9903966509584137,0.0006186846375305837,1024,1024,768,adamw,1.0891337991705858e-05,0.8257999226673048,0.10992082624339429,1.0,1.0
