trial_number,best_train_loss,final_train_loss,final_val_loss,lr,batch_size,internal_layer_size,output_dim,tau,optimizer,weight_decay
1,0.08092861291331066,0.08092861291331066,0.10595760984156447,5.6115164153345e-05,64,512,256,0.014863737747479332,sgd,0.00011207606211860574
2,0.11947957944551298,0.11947957944551298,0.177587172492478,7.309539835912905e-05,128,512,512,0.011936688658110407,sgd,0.0004138040112561013
3,0.017392991058476096,0.017392991058476096,0.10720805005225481,4.066563313514796e-05,128,512,512,0.012939811886786895,adam,0.0006161049539380963
4,0.01616831178871065,0.01616831178871065,0.046292331857921164,0.0001569639638866114,64,768,256,0.05615378865278278,adamw,2.497073714505272e-05
5,0.15273111149721127,0.15273111149721127,0.14964348451489476,1.0257563974185649e-05,64,768,128,0.022762832541872294,sgd,8.798929749689021e-05
6,0.10214279047498594,0.10214279047498594,0.3274477459490299,1.7345566642360933e-05,512,256,256,0.035599948381529196,adam,0.0003244160088734161
7,0.12129182858886767,0.12129182858886767,0.27481727972626685,2.8681134821030064e-05,512,512,128,0.06272639099464453,adam,7.148510793512978e-05
8,0.030311351811533563,0.030311351811533563,0.057158329301650164,0.0004325432427964555,64,768,256,0.06802474579046726,adam,3.997206819121805e-05
9,0.03031373088298094,0.03031373088298094,0.08818493298582049,3.712624179040528e-05,128,256,128,0.053313373073010234,adamw,0.00018391267498288997
10,0.1551735994913389,0.1551735994913389,0.2748664412749349,0.00018495216589727275,256,768,512,0.012205650030349402,sgd,1.883830778761975e-05
11,0.39192344309115895,0.39192344309115895,0.9190728902816773,0.000776735381623706,1024,1024,256,0.0012488622130248112,sgd,1.0744583847151165e-05
12,0.12404295278217672,0.12404295278217672,0.16707050905539358,6.929790259989524e-05,128,512,512,0.030796444316979775,sgd,0.0008603712922135038
13,2.1463478815798855,2.1463478815798855,5.221009302139282,8.819176073569919e-05,1024,512,512,0.0006529646355658662,sgd,0.00022465392476467104
14,0.16035035279724758,0.16035035279724758,0.27793801146326585,0.00018526081758759246,256,512,512,0.01663491058467884,sgd,0.0003933480575431433
15,0.06688434942402761,0.06688434942402761,0.08920670746474164,6.577272217963763e-05,64,1024,256,0.040825900777642914,sgd,0.0001146959579468061
16,0.018962270606591208,0.018962270606591208,0.10405246507695401,0.0001133858401260482,128,512,256,0.024558093087233675,adamw,0.00012953685031874787
17,0.09615778086541454,0.09615778086541454,0.1637203743581106,0.00042579880439922363,128,512,512,0.005893735921666782,sgd,5.1492191153411867e-05
18,0.2739240403596362,0.2739240403596362,0.21985693375585943,2.1086908167827972e-05,64,512,512,0.043404316687394855,sgd,0.0004524540905246327
19,0.7001296823122063,0.7001296823122063,0.7177223831415176,5.0108006204724114e-05,512,256,256,0.02158969808279123,sgd,0.00021531350891894905
