length_mean,length_min,length_max,n_samples,n_correct,n_positive,n_negative,n_positive_correct,n_negative_correct,pct_correct,positive_recall_pct,negative_accuracy_pct
3.4705491686895984,0.5,4.0,21833,18427,12121,9712,9887,8540,84.39976182842486,81.56917746060556,87.9324546952224
5.037993920972644,4.5,5.5,28623,25625,16716,11907,14676,10949,89.52590574013905,87.79612347451544,91.95431258923323
6.0,6.0,6.0,15703,14705,10211,5492,9525,5180,93.64452652359422,93.28175497013025,94.31900946831755
6.805645558920899,6.5,7.0,28394,26715,17359,11035,16173,10542,94.08677889695007,93.1678092055994,95.53239691889442
7.803104182405055,7.5,8.0,29122,27797,18190,10932,17291,10506,95.4501751253348,95.05772402418911,96.10318331503842
8.5,8.5,8.5,11687,11165,6552,5135,6147,5018,95.53349875930522,93.81868131868131,97.72151898734177
9.0,9.0,9.0,16264,15775,11262,5002,10947,4828,96.99335956714215,97.20298348428344,96.52139144342263
9.789254519601869,9.5,10.0,24615,23893,15796,8819,15296,8597,97.06682916920577,96.83464168143834,97.48270778999887
10.787801384578659,10.5,11.0,20945,20475,13871,7074,13575,6900,97.75602769157317,97.8660514742989,97.54028837998304
11.956823671497585,11.5,12.5,21528,21039,14382,7146,14090,6949,97.72853957636566,97.96968432763177,97.24321298628604
13.611740501255811,13.0,14.5,18713,18474,13234,5479,13090,5384,98.72281301768824,98.91189360737495,98.2661069538237
17.20902924096819,15.0,54.5,19459,19265,15447,4012,15366,3899,99.00303201603371,99.47562633521072,97.18344965104686
